title1,title2,no,desc,img_url
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0058.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0059.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0060.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0061.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0062.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0063.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0064.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0065.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0066.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0067.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0068.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0069.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0070.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0071.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0072.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0073.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0074.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0075.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0076.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0077.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0078.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0079.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0080.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0081.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0082.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0083.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0084.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0085.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0086.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0087.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0088.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0089.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0090.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0091.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0092.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0093.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0094.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0095.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0096.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0097.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0098.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0099.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0100.jpg
